样本ID,人群,时期,年龄_年前
916,YRI,古代_远期,25000
917,YRI,现代,0
918,YRI,现代,0
919,YRI,现代,0
920,YRI,现代,0
921,YRI,现代,0
922,YRI,现代,0
923,YRI,现代,0
924,YRI,现代,0
925,YRI,现代,0
926,YRI,现代,0
927,YRI,现代,0
928,YRI,现代,0
929,YRI,现代,0
930,YRI,现代,0
931,YRI,现代,0
932,YRI,现代,0
933,YRI,现代,0
934,YRI,现代,0
935,YRI,现代,0
936,YRI,现代,0
937,YRI,现代,0
938,YRI,古代_近期,5000
939,YRI,现代,0
940,YRI,现代,0
941,YRI,现代,0
942,YRI,现代,0
943,YRI,现代,0
944,YRI,古代_近期,5000
945,YRI,现代,0
946,YRI,现代,0
947,YRI,现代,0
948,YRI,现代,0
949,YRI,现代,0
950,YRI,现代,0
951,YRI,现代,0
952,YRI,现代,0
953,YRI,现代,0
954,YRI,现代,0
955,YRI,现代,0
956,YRI,现代,0
957,YRI,现代,0
958,YRI,现代,0
