样本ID,人群,时期,年龄_年前
5968,CHB,现代,0
5969,CHB,现代,0
5970,CHB,现代,0
5971,CHB,现代,0
5972,CHB,现代,0
5973,CHB,现代,0
5974,CHB,现代,0
5975,CHB,现代,0
5976,CHB,现代,0
5977,CHB,现代,0
5978,CHB,现代,0
5979,CHB,现代,0
5980,CHB,现代,0
5981,CHB,现代,0
5982,CHB,现代,0
5983,CHB,现代,0
5984,CHB,现代,0
5985,CHB,现代,0
5986,CHB,现代,0
5987,CHB,现代,0
5988,CHB,现代,0
5989,CHB,现代,0
5990,CHB,现代,0
5991,CHB,现代,0
5992,CHB,现代,0
5993,CHB,现代,0
5994,CHB,现代,0
5995,CHB,现代,0
5996,CHB,现代,0
5997,CHB,现代,0
5998,CHB,现代,0
5999,CHB,现代,0
